iter	Passed	Remaining
0	27	5451
1	61	6087
2	92	6058
3	118	5795
4	147	5737
5	171	5560
6	200	5521
7	203	4890
8	232	4937
9	263	4999
10	313	5385
11	364	5706
12	397	5724
13	428	5698
14	456	5634
15	484	5574
16	495	5329
17	524	5301
18	550	5244
19	579	5219
20	609	5191
21	635	5142
22	664	5112
23	667	4898
24	698	4888
25	728	4874
26	731	4687
27	761	4678
28	791	4667
29	817	4633
30	846	4614
31	874	4593
32	900	4558
33	934	4560
34	962	4539
35	992	4523
36	1018	4486
37	1045	4458
38	1076	4445
39	1110	4442
40	1139	4420
41	1170	4402
42	1196	4367
43	1212	4297
44	1249	4302
45	1278	4280
46	1308	4259
47	1339	4241
48	1373	4231
49	1425	4276
50	1473	4304
51	1502	4275
52	1528	4238
53	1557	4210
54	1586	4181
55	1612	4145
56	1627	4083
57	1659	4063
58	1688	4034
59	1713	3998
60	1743	3973
61	1773	3948
62	1802	3918
63	1829	3887
64	1859	3861
65	1888	3835
66	1916	3803
67	1942	3770
68	1971	3743
69	2004	3722
70	2032	3692
71	2058	3659
72	2088	3633
73	2116	3603
74	2142	3570
75	2172	3545
76	2202	3518
77	2228	3485
78	2256	3456
79	2288	3432
80	2326	3417
81	2357	3392
82	2388	3366
83	2419	3340
84	2447	3311
85	2501	3315
86	2599	3376
87	2658	3382
88	2702	3370
89	2739	3348
90	2805	3360
91	2863	3361
92	2900	3337
93	2930	3304
94	2957	3268
95	2987	3236
96	3017	3203
97	3044	3168
98	3071	3133
99	3100	3100
100	3128	3066
101	3155	3031
102	3184	2999
103	3214	2967
104	3245	2936
105	3270	2900
106	3299	2867
107	3326	2833
108	3352	2798
109	3382	2767
110	3410	2734
111	3436	2700
112	3466	2668
113	3494	2636
114	3520	2602
115	3551	2571
116	3585	2543
117	3626	2519
118	3680	2504
119	3714	2476
120	3742	2443
121	3769	2410
122	3799	2378
123	3831	2348
124	3857	2314
125	3886	2282
126	3915	2250
127	3945	2219
128	3971	2185
129	3998	2152
130	4028	2121
131	4056	2089
132	4084	2057
133	4118	2028
134	4146	1996
135	4174	1964
136	4200	1931
137	4229	1900
138	4257	1868
139	4285	1836
140	4313	1805
141	4342	1773
142	4368	1741
143	4395	1709
144	4426	1678
145	4454	1647
146	4483	1616
147	4511	1585
148	4541	1554
149	4568	1522
150	4594	1490
151	4623	1459
152	4649	1428
153	4679	1397
154	4723	1371
155	4771	1345
156	4809	1317
157	4839	1286
158	4864	1254
159	4895	1223
160	4926	1193
161	4955	1162
162	4981	1130
163	5022	1102
164	5051	1071
165	5077	1039
166	5106	1009
167	5133	977
168	5159	946
169	5188	915
170	5215	884
171	5242	853
172	5271	822
173	5303	792
174	5328	761
175	5359	730
176	5388	700
177	5417	669
178	5444	638
179	5473	608
180	5502	577
181	5527	546
182	5557	516
183	5586	485
184	5614	455
185	5641	424
186	5671	394
187	5701	363
188	5730	333
189	5756	302
190	5796	273
191	5837	243
192	5884	213
193	5918	183
194	5946	152
195	5972	121
196	6000	91
197	6028	60
198	6054	30
199	6084	0
